feh,bulge,thickdisk,halo,solarneighborhood
-1.98131,978.738,541.196,299.003,
-1.96262,967.774,530.233,291.03,
-1.94393,956.811,519.269,271.096,
-1.92523,945.847,508.306,252.159,
-1.90654,934.884,497.342,232.226,
-1.88785,923.92,486.379,223.256,
-1.86916,912.957,475.415,203.322,
-1.85047,901.993,464.452,193.355,275.581
-1.83178,891.03,453.488,183.389,266.113
-1.81308,880.066,442.525,174.419,246.179
-1.79439,869.103,431.561,164.452,228.239
-1.7757,858.14,420.598,155.482,217.774
-1.75701,847.176,409.635,150.498,207.309
-1.73832,836.213,398.671,145.515,197.841
-1.71963,825.249,387.708,142.525,188.372
-1.68224,803.322,365.781,136.545,175.083
-1.66355,792.359,354.817,135.748,168.439
-1.60748,759.468,321.927,133.355,151.495
-1.58879,748.505,310.963,132.558,147.508
-1.57009,737.542,300,134.352,143.522
-1.5514,726.578,289.037,136.146,139.535
-1.53271,715.615,277.076,137.94,135.548
-1.51402,704.651,265.116,139.734,131.561
-1.49533,693.688,242.193,141.528,127.575
-1.47664,682.724,237.209,144.518,125.98
-1.45794,671.761,221.262,147.508,124.385
-1.43925,660.797,208.306,150.498,122.791
-1.42056,649.834,197.342,153.156,121.196
-1.40187,638.87,186.379,155.814,119.601
-1.38318,627.907,173.422,158.472,119.352
-1.36449,616.944,169.435,162.957,119.103
-1.34579,605.98,157.475,167.442,118.854
-1.3271,595.017,151.495,171.927,118.605
-1.30841,584.053,139.535,176.412,118.355
-1.28972,573.09,135.548,180.897,118.106
-1.27103,562.126,129.568,185.382,117.857
-1.25234,551.163,126.08,188.372,117.608
-1.23364,540.199,122.591,191.362,117.94
-1.21495,529.236,116.611,194.352,118.272
-1.17757,507.309,110.631,199.668,118.937
-1.15888,496.346,108.638,202.326,119.269
-1.14019,485.382,106.645,203.821,119.601
-1.08411,452.492,105.15,208.306,118.405
-1.06542,441.528,104.651,209.801,118.007
-1.04673,430.565,104.651,211.296,117.608
-1.00935,408.638,104.651,214.286,118.494
-0.990654,397.674,104.651,214.286,118.937
-0.915888,353.821,107.641,214.286,120.709
-0.878505,331.894,109.635,214.286,121.595
-0.859813,320.93,110.631,214.286,122.259
-0.82243,299.003,113.289,211.296,123.588
-0.803738,288.04,114.618,209.801,124.252
-0.785047,264.12,116.279,208.306,124.917
-0.766355,238.206,117.94,206.561,125.581
-0.747664,216.279,119.601,204.817,126.246
-0.728972,203.322,120.598,203.073,126.91
-0.71028,197.342,121.595,201.329,127.575
-0.691589,191.362,122.591,198.671,128.128
-0.672897,167.442,123.92,196.013,128.682
-0.654206,161.96,125.249,193.355,129.236
-0.635514,156.478,126.578,191.611,129.79
-0.616822,142.525,127.176,189.867,130.343
-0.598131,133.555,127.774,188.123,130.897
-0.579439,119.601,128.372,186.379,131.451
-0.542056,109.635,129.568,182.89,132.558
-0.504673,103.654,128.571,179.402,131.894
-0.485981,100.664,128.372,177.658,131.561
-0.429907,95.6811,127.774,172.425,130.565
-0.411215,95.3073,127.575,170.681,130.233
-0.373832,94.5598,127.176,167.193,129.568
-0.280374,92.691,126.179,158.472,123.161
-0.242991,92.691,125.781,154.983,120.598
-0.186916,92.691,125.183,149.751,115.216
-0.149533,90.6977,124.784,146.262,111.628
-0.11215,88.7043,124.385,142.774,108.04
-0.0560748,84.9668,123.787,137.542,102.658
-0.0373832,83.7209,123.588,135.797,100.415
0.0186916,80.1329,122.99,130.565,93.6877
0.0560748,77.7409,122.591,127.076,90.0997
0.11215,73.2558,121.993,121.844,84.7176
0.280374,59.8007,120.199,106.146,68.5714
