feh,18O,17O
-1.7362,5014.97,16535.3
-1.67092,4865.27,15837.1
-1.62756,4730.54,15373.2
-1.58465,4491.02,14914.2
-1.54136,4341.32,14451
-1.49806,4191.62,13987.9
-1.4547,4056.89,13524
-1.43338,3907.19,13295.9
-1.39008,3757.49,12832.7
-1.36876,3607.78,12604.6
-1.32546,3458.08,12141.5
-1.28216,3308.38,11678.3
-1.21728,3068.86,10984.2
-1.17398,2919.16,10521
-1.10864,2784.43,9822.05
-1.06534,2634.73,9358.87
-1.04402,2485.03,9130.8
-1.00072,2335.33,8667.62
-0.979404,2185.63,8439.55
-0.958084,2035.93,8211.48
-0.914786,1886.23,7748.3
-0.893466,1736.53,7520.23
-0.850102,1601.8,7056.34
-0.806804,1452.1,6593.16
-0.741528,1302.4,5894.87
-0.676186,1167.66,5195.88
-0.659275,1138.65,5014.97
-0.638284,1102.64,4790.42
-0.616766,1065.72,4685.63
-0.59571,1029.59,4476.05
-0.588932,1017.96,4408.59
-0.574653,1002.33,4266.47
-0.531552,955.129,4071.86
-0.510495,932.071,3862.28
-0.479568,898.204,3711.66
-0.467461,883.279,3652.69
-0.42436,830.149,3458.08
-0.403369,804.273,3233.53
-0.37027,763.473,3142.26
-0.338225,733.336,3053.89
-0.317102,713.472,2859.28
-0.274001,672.938,2664.67
-0.208923,611.736,2470.06
-0.19517,598.802,2417.68
-0.165691,583.148,2305.39
-0.100612,548.591,2110.78
-0.0354017,513.964,1946.11
0.00217148,494.012,1851.23
0.0298085,475.131,1781.44
0.116536,415.88,1511.98
0.133645,404.192,1464.8
0.159966,386.21,1392.22
