t,model1,model2,model3,model4
0.342451,945.005,416.401,245.005,145.005
0.358254,845.558,378.134,145.558,90.6247
0.37567,735.963,335.963,35.963,30.6954
0.377517,724.339,331.49,24.3393,24.3393
0.377781,722.679,330.851,22.6788,22.6788
0.378485,718.251,329.147,22.4465,18.2507
0.394552,617.143,290.242,17.1431,17.6014
0.4015,573.416,273.416,16.9021,17.3205
0.44073,326.551,224.187,15.5417,15.7351
0.441199,323.599,223.599,15.5254,15.7161
0.441609,321.016,222.746,15.5112,15.6995
0.45838,315.48,187.915,14.9296,15.0217
0.458468,314.927,187.732,14.9265,15.0182
0.45926,309.945,186.088,14.9265,14.9862
0.460139,304.41,184.262,14.9265,14.9506
0.461019,298.875,182.435,14.9264,14.9151
0.464918,297.588,174.336,14.9263,14.7575
0.474447,294.442,165.919,14.9259,14.3724
0.477789,293.339,162.966,14.9258,14.3723
0.478669,287.804,162.189,14.9257,14.3722
0.479549,282.269,161.412,14.9257,14.3722
0.480428,276.734,160.635,14.9257,14.3721
0.497199,271.198,145.821,14.925,14.3715
0.498079,265.663,145.044,14.925,14.3715
0.498958,260.128,144.267,14.9249,14.3714
0.499838,254.593,143.49,14.9249,14.3714
0.50189,253.915,141.678,14.9248,14.3713
0.516608,249.057,133.854,14.9242,14.3707
0.517488,243.522,133.387,14.9242,14.3707
0.518368,237.987,132.919,14.9242,14.3706
0.519247,232.452,132.452,14.9241,14.3706
0.520127,226.917,131.984,14.9241,14.3706
0.521006,221.382,131.517,14.9241,14.3705
0.537777,215.846,122.603,14.9234,14.3699
0.538657,210.311,122.135,14.9234,14.3698
0.539536,204.776,121.668,14.9233,14.3698
0.540416,199.241,121.2,14.9233,14.3698
0.541295,193.706,120.733,14.9232,14.3697
0.553961,189.525,114,14.9227,14.3692
0.558066,188.17,111.542,14.9226,14.3691
0.558946,182.635,111.015,14.9226,14.369
0.559825,177.1,110.489,14.9225,14.369
0.560705,171.565,109.962,14.9225,14.369
0.561584,166.029,109.435,14.9224,14.3689
0.571524,162.749,103.483,14.9221,14.3685
0.578355,160.494,100.945,14.9218,14.3683
0.579235,154.959,100.618,14.9217,14.3682
0.580114,149.424,100.292,14.9217,14.3682
0.585597,147.614,98.2548,14.9215,14.368
0.596885,143.888,94.0615,14.9211,14.3675
0.597765,138.353,93.7347,14.921,14.3675
0.614535,132.817,87.5045,14.9204,14.3668
0.615415,127.282,87.1778,14.9203,14.3668
0.617467,126.604,86.4153,14.9202,14.3667
0.622188,125.046,84.6617,14.9201,14.394
0.632186,121.746,82.748,14.9197,14.4517
0.633065,116.211,82.5796,14.9196,14.4567
0.649836,110.675,79.3695,14.919,14.5535
0.650715,105.14,79.2011,14.9189,14.5586
0.667486,99.6046,75.991,14.9183,14.6554
0.671356,98.3271,75.2502,14.9181,14.6777
0.684257,94.0689,72.8513,14.9176,14.7522
0.701028,88.5332,69.7328,14.9169,14.849
0.704106,87.517,69.1604,14.9168,14.8667
0.717798,82.9975,67.7524,14.9163,14.9457
0.744508,78.9116,65.006,14.9152,15.0999
0.750372,78.0146,64.403,15.0431,15.1337
0.767143,72.4789,62.6785,15.4088,15.2305
0.768726,72.3428,62.5157,15.4433,15.2396
0.807985,68.9694,60.6145,16.2994,15.4662
0.831587,66.9413,59.4715,16.814,16.043
0.848798,66.7412,58.638,17.1893,16.4636
0.871198,66.4807,58.7673,17.6777,17.0109
0.92711,65.8305,59.09,19.2762,18.3773
0.944056,66.903,59.1878,19.7606,18.7914
0.966281,68.3095,61.9497,20.396,19.3345
0.975223,68.8755,63.0611,20.6516,19.5426
1.00577,70.8089,64.1299,21.525,20.2534
1.04521,73.0247,65.5095,22.6524,21.1709
1.05424,73.5321,65.8255,22.8817,21.381
1.08453,75.2339,67.7781,23.6509,22.0857
1.10877,76.7684,69.3414,24.2666,22.6499
1.14862,79.2901,71.9103,25.2784,24.5712
1.16319,80.2123,73.5895,25.6485,25.2739
1.19409,85.7461,77.1506,26.4332,26.764
1.21104,87.5462,79.1034,26.8636,27.5812
1.21931,88.4244,79.8628,27.0736,27.9799
1.23493,90.0843,81.298,27.6891,28.7335
1.24097,90.7258,81.8528,27.9271,28.8505
1.28777,96.259,86.1505,29.7703,29.7569
1.28935,96.5135,86.2959,29.8327,29.7876
1.31876,101.239,89.8441,30.9911,30.3572
1.34564,104.419,93.0881,32.0501,30.878
1.36555,106.773,95.4901,31.7898,31.2636
1.36731,106.981,95.7024,31.7668,31.2977
1.37751,108.187,96.7862,31.6334,31.4954
1.41235,112.306,100.486,31.1781,30.822
1.41419,112.603,100.682,31.1539,30.7863
1.42877,114.944,108.984,30.9634,30.5046
1.44334,117.286,109.111,30.7729,30.223
1.47304,117.63,109.368,30.3846,29.6488
1.49224,117.853,109.535,30.1612,29.2776
1.52097,118.186,107.554,29.8271,28.7222
1.53851,118.389,106.346,29.6232,28.7215
1.54044,118.3,106.212,29.6007,28.7214
1.61632,114.799,103.059,28.7184,28.7184
1.62043,114.61,102.888,28.7182,28.7182
1.63456,113.958,102.155,28.7177,28.7177
1.71472,109.526,97.9984,28.7145,28.7145
1.71656,109.47,97.9026,28.7144,28.7144
1.72756,109.136,97.7324,28.714,28.714
1.82291,106.241,96.2562,28.7102,28.9056
1.84246,105.647,95.9535,28.7473,28.9449
1.85994,105.585,95.6829,28.7804,28.9801
1.99762,105.1,95.6775,29.0415,29.2568
2.00146,105.087,95.6773,29.0488,29.2834
2.01885,105.288,95.6766,29.0817,29.404
2.10886,106.332,96.3457,29.2524,30.0282
2.14422,106.742,96.6085,29.6917,30.2734
2.23572,108.158,97.2887,30.8287,30.9079
2.24106,108.241,97.3284,30.895,30.9528
2.28689,108.95,98.0377,31.4644,31.3385
2.42947,111.712,100.245,33.2359,32.5384
2.5264,112.836,101.745,34.4402,33.3541
2.55293,113.143,102.001,34.7699,33.5774
2.57222,113.367,102.187,34.9671,33.7398
2.7148,116.129,103.563,36.4245,34.9397
2.75943,116.82,103.994,36.8806,35.3153
2.812,117.633,104.501,37.418,35.7957
2.85747,118.337,104.94,37.8828,36.2114
3.00014,120.546,106.317,39.3411,37.5153
3.09235,121.973,107.207,40.2836,38.3581
3.0976,122.054,107.258,40.3301,38.4061
3.14281,122.754,107.551,40.7303,38.8193
3.30154,123.855,108.583,42.1353,40.2702
3.35159,124.027,108.908,42.5783,40.7276
3.36241,124.064,108.889,42.6741,40.8265
3.46037,124.402,108.714,43.5412,41.611
3.55563,124.952,108.545,44.3843,42.3739
3.6695,124.947,108.342,45.3923,43.2859
3.71454,124.945,108.204,45.791,43.6465
3.87345,124.939,107.717,47.1976,44.9192
3.90165,124.84,107.63,47.4472,45.1451
4.03245,124.379,107.229,48.5517,46.1926
4.03517,124.37,107.221,48.5747,46.2144
4.18769,123.833,106.179,49.8626,47.4359
4.19145,123.82,106.153,49.8943,47.4644
4.33456,123.26,105.176,51.1028,48.5504
4.48883,122.181,104.123,52.4056,49.7213
4.49364,122.147,104.09,52.4441,49.7578
4.63693,120.481,103.111,53.5916,50.8451
4.68742,120.128,102.767,53.9959,51.2283
4.6956,120.07,102.692,54.0614,51.2904
4.79601,119.368,101.777,54.8657,52.0073
4.93921,118.255,100.472,56.0125,53.0297
5.0983,117.142,99.0224,57.2866,54.1656
5.23528,115.549,97.7741,58.3836,55.1436
5.24158,115.475,97.7167,58.4341,55.1771
5.40067,114.362,96.267,59.7082,56.0241
5.41946,114.216,96.0957,59.8587,56.1241
5.52044,113.431,95.334,60.6674,56.6617
5.54387,113.249,95.1573,60.8315,56.7864
5.70304,111.583,93.9566,61.9471,57.6338
5.8545,110.523,92.8141,63.0087,58.4401
5.86213,110.469,92.7566,63.0621,58.4942
6.00541,108.803,91.6758,64.0664,59.5105
6.1645,107.69,90.4758,65.1814,60.6389
6.23088,106.918,89.9751,65.6466,61.1098
6.30778,106.024,89.3323,66.1856,61.6553
6.46687,104.91,88.0027,67.3006,62.7837
6.55292,103.91,87.2835,67.9037,63.3941
6.61015,103.244,86.8052,68.3048,63.7325
6.76924,102.131,85.4756,69.4198,64.6731
6.91244,101.018,84.2788,70.4234,65.5198
6.96284,100.666,83.8576,70.7767,65.8178
7.01253,100.318,83.5098,71.125,66.1117
7.07152,99.9049,83.097,71.4966,66.4605
7.20384,98.3663,82.171,72.3302,67.2429
7.21481,98.2387,82.0943,72.3993,67.3086
7.3739,97.1254,80.9809,73.4015,68.2623
7.51709,96.0128,79.9789,74.3036,69.1207
7.59919,95.3505,79.4044,74.8207,69.6128
7.71104,94.4481,78.6851,75.5254,70.2834
7.72394,94.3441,78.6021,75.6222,70.3607
7.88303,93.2308,77.5791,76.8154,71.3144
8.02622,92.1181,76.6583,77.8894,72.1728
8.02939,92.0959,76.6379,77.9132,72.1918
8.18531,91.0048,75.6352,79.0827,72.9007
8.29831,90.1268,74.9086,79.9302,73.4145
8.32851,89.8921,74.7144,80.1524,73.5518
8.37864,89.5413,74.392,80.5213,73.7798
8.48759,88.7788,73.6984,81.3229,74.2752
8.63079,87.6662,72.7868,82.3765,74.9262
8.63281,87.6504,72.7739,82.3914,74.9354
8.77399,86.5535,71.8752,83.4301,75.6954
8.8221,86.1796,71.5689,83.784,75.9544
8.91718,85.4408,70.9636,84.3696,76.4663
9.07856,84.2728,69.9363,85.3635,77.335
9.3473,82.3277,68.5569,87.0186,78.7817
9.37855,82.1015,68.3965,87.2111,78.9728
9.5365,82.0953,67.5858,88.1838,79.9383
9.53746,82.0953,67.5809,88.1922,79.9442
9.68066,80.9826,66.8459,89.4352,80.8196
9.73062,80.8067,66.5895,89.8689,81.125
9.83966,80.4228,66.0954,90.8154,81.7916
9.98286,79.3101,65.4467,92.0584,82.667
10.0443,79.0938,65.1682,92.5918,83.0427
10.1419,78.7503,64.7263,93.2358,83.639
10.157,78.6447,64.6579,93.3355,83.7313
10.2236,78.1783,64.3559,93.7755,84.0426
10.3009,77.637,63.979,94.2861,84.4038
10.4441,77.0779,63.2816,95.2309,85.0723
10.6031,75.9646,62.5063,96.2812,85.8153
10.711,75.5847,61.9804,96.9935,86.3193
10.7445,75.4669,61.8174,97.1588,86.4756
10.7621,75.4048,61.7314,97.246,86.521
10.7961,75.1407,61.5658,97.4138,86.6085
10.9053,74.2921,61.2379,97.9534,86.8896
11.0643,73.7323,60.7605,98.7389,87.2988
11.2074,73.1731,60.3308,99.4459,87.6672
11.2668,72.7579,60.1526,99.7391,87.8199
